Date,Rise,Set,RiseAzimuth,SetAzimuth,Meridian,Altitude,Distance,Illuminated,Phase,PhaseTime,PosAngle
2023-03-31,15:22:15,00:36:53,60.7,301.1,20:26:14,33.7,404915,71.1%,waxinggibbous,,197.0
2023-04-01,15:58:41,01:34:10,64.8,297.7,21:12:37,37.4,404391,79.5%,waxinggibbous,,202.0
2023-04-02,16:00:47,02:01:38,70.0,293.1,21:26:44,41.9,402748,86.8%,waxinggibbous,,206.1
2023-04-03,16:29:49,02:58:37,75.9,287.5,22:09:07,47.2,400208,92.8%,waxinggibbous,,209.5
2023-04-04,16:56:58,03:55:04,82.4,281.1,22:50:35,52.9,397027,97.1%,waxinggibbous,,212.7
2023-04-05,17:23:26,04:51:28,89.4,274.2,23:32:06,59.0,393464,99.5%,waxinggibbous,,220.1
2023-04-06,17:50:24,05:48:34,96.4,267.1,,,,,fullmoon,15:04:31,
2023-04-07,18:19:10,06:47:16,103.4,259.9,00:14:41,65.2,389755,99.8%,waninggibbous,,7.2
2023-04-08,18:51:12,07:48:25,109.9,252.9,00:59:29,71.1,386094,97.9%,waninggibbous,,19.8
2023-04-09,19:28:13,08:52:25,115.7,246.7,01:47:33,76.6,382616,93.6%,waninggibbous,,18.6
2023-04-10,20:12:02,09:58:47,120.1,241.5,02:39:44,81.2,379400,87.0%,waninggibbous,,14.5
2023-04-11,21:04:04,11:05:43,122.7,238.1,03:36:15,84.6,376482,78.4%,waninggibbous,,8.7
2023-04-12,22:04:27,12:10:08,123.1,236.7,04:36:18,86.2,373885,68.2%,waninggibbous,,1.7
2023-04-13,23:11:23,13:08:52,121.1,237.8,05:37:58,85.9,371641,56.8%,thirdquarter,19:41:21,354.2
2023-04-14,,14:00:06,,241.2,06:38:51,83.7,369822,44.9%,waningcrescent,,346.9
2023-04-15,00:21:39,14:43:56,116.9,246.4,07:37:00,79.7,368550,33.2%,waningcrescent,,340.7
2023-04-16,01:32:08,15:21:46,110.8,253.0,08:31:37,74.3,367982,22.4%,waningcrescent,,336.0
2023-04-17,02:41:06,15:55:26,103.6,260.5,09:22:57,68.0,368290,13.2%,waningcrescent,,332.7
2023-04-18,03:48:09,16:26:43,95.6,268.5,10:11:55,61.1,369614,6.2%,waningcrescent,,331.0
2023-04-19,04:53:48,16:57:16,87.5,276.4,10:59:43,54.1,372014,1.7%,waningcrescent,,330.4
2023-04-20,05:58:51,17:28:37,79.5,283.9,11:47:33,47.5,375441,0.0%,newmoon,14:42:33,320.2
2023-04-21,07:03:54,18:02:12,72.2,290.7,12:36:23,41.5,379719,1.0%,waxingcrescent,,158.4
2023-04-22,08:08:58,18:39:21,66.0,296.3,13:26:54,36.5,384555,4.5%,waxingcrescent,,161.8
2023-04-23,09:13:15,19:21:12,61.1,300.4,14:19:10,32.8,389574,10.0%,waxingcrescent,,167.1
2023-04-24,10:15:03,20:08:16,57.9,302.8,15:12:40,30.5,394363,17.3%,waxingcrescent,,173.3
2023-04-25,11:12:22,21:00:10,56.6,303.4,16:06:17,29.7,398522,25.7%,waxingcrescent,,179.8
2023-04-26,12:03:39,21:55:38,57.1,302.2,16:58:44,30.4,401710,34.9%,waxingcrescent,,186.3
2023-04-27,12:48:22,22:52:57,59.3,299.4,17:48:57,32.5,403681,44.6%,waxingcrescent,,192.3
2023-04-28,13:26:58,23:50:34,62.9,295.2,18:36:26,35.7,404297,54.4%,firstquarter,07:49:59,197.4
2023-04-29,14:00:35,,67.7,,19:21:18,39.9,403538,64.0%,waxinggibbous,,201.4
2023-04-30,14:30:32,00:47:36,73.3,289.9,20:04:03,44.9,401494,73.1%,waxinggibbous,,204.4
2023-05-01,14:58:06,01:43:56,79.6,283.8,20:45:33,50.4,398354,81.5%,waxinggibbous,,206.2
2023-05-02,15:24:35,02:39:58,86.4,277.2,21:26:46,56.4,394391,88.7%,waxinggibbous,,206.8
2023-05-03,15:51:11,03:36:33,93.4,270.1,22:08:51,62.6,389932,94.4%,waxinggibbous,,205.9
