Date,Rise,Set,RiseAzimuth,SetAzimuth,Meridian,Altitude,Distance,Illuminated,Phase,PhaseTime,PosAngle
2023-03-19,06:42:16,14:39:05,128.6,235.8,10:32:03,12.0,362737,7.8%,waningcrescent,,152.1
2023-03-20,06:44:37,16:27:22,115.1,250.4,11:25:46,18.3,363175,2.5%,waningcrescent,,144.7
2023-03-21,06:45:39,18:10:46,101.5,265.0,12:16:34,25.2,365232,0.2%,newmoon,18:23:08,114.5
2023-03-22,06:46:11,19:51:03,87.9,279.4,13:05:33,32.2,368806,0.9%,waxingcrescent,,347.6
2023-03-23,06:46:45,21:30:16,74.6,293.3,13:53:55,39.0,373617,4.4%,waxingcrescent,,340.4
2023-03-24,06:47:50,23:09:49,61.8,306.5,14:42:41,45.1,379243,10.2%,waxingcrescent,,341.0
2023-03-25,06:50:12,,49.7,,15:32:35,50.2,385187,17.8%,waxingcrescent,,344.2
2023-03-26,07:55:12,00:49:38,38.6,318.7,17:23:53,54.0,390945,26.7%,waxingcrescent,,349.0
2023-03-27,08:05:58,03:26:46,29.1,329.2,18:16:19,56.5,396066,36.4%,waxingcrescent,,354.8
2023-03-28,08:29:51,04:52:37,22.7,336.6,19:09:03,57.5,400192,46.4%,waxingcrescent,,1.2
2023-03-29,09:18:59,05:52:49,22.0,338.3,20:01:00,57.0,403084,56.3%,firstquarter,04:32:22,7.6
2023-03-30,10:34:29,06:23:41,27.4,333.8,20:51:12,55.2,404633,65.8%,waxinggibbous,,13.7
2023-03-31,12:02:17,06:37:26,36.3,325.8,21:39:02,52.2,404847,74.7%,waxinggibbous,,19.2
2023-04-01,13:32:10,06:43:40,46.8,316.1,22:24:26,48.1,403838,82.7%,waxinggibbous,,23.8
2023-04-02,15:00:27,06:46:28,58.0,305.7,23:07:45,43.3,401796,89.5%,waxinggibbous,,27.6
2023-04-03,16:26:43,06:47:35,69.8,294.7,23:49:39,37.8,398960,94.8%,waxinggibbous,,30.8
2023-04-04,17:51:59,06:47:49,81.9,283.4,,,,,waxinggibbous,,
2023-04-05,19:17:53,06:47:41,94.3,271.8,00:31:01,31.9,395590,98.3%,waxinggibbous,,34.5
2023-04-06,20:46:26,06:47:31,107.0,260.0,01:12:50,25.8,391941,99.9%,fullmoon,06:34:31,58.0
2023-04-07,22:19:35,06:47:39,119.8,248.0,01:56:12,19.7,388232,99.3%,waninggibbous,,197.1
2023-04-08,23:58:49,06:48:38,132.6,235.9,02:42:13,13.9,384633,96.4%,waninggibbous,,199.8
2023-04-09,,06:51:23,,224.0,03:31:55,8.8,381256,91.1%,waninggibbous,,197.1
2023-04-10,01:43:33,06:58:09,144.9,212.8,04:25:54,4.8,378160,83.7%,waninggibbous,,192.2
2023-04-11,03:27:16,07:15:25,155.2,203.6,05:24:02,2.3,375372,74.4%,waninggibbous,,185.8
2023-04-12,04:49:45,08:00:38,159.9,200.1,06:25:02,1.5,372914,63.6%,waninggibbous,,178.5
2023-04-13,05:31:34,09:27:56,155.6,205.7,07:26:41,2.5,370834,51.9%,thirdquarter,11:11:21,171.0
2023-04-14,05:47:35,11:16:56,145.7,216.9,08:26:37,5.3,369223,40.0%,waningcrescent,,164.2
2023-04-15,05:53:59,13:08:04,133.6,230.2,09:23:20,9.8,368220,28.6%,waningcrescent,,158.5
2023-04-16,05:56:40,14:55:00,120.7,244.2,10:16:30,15.6,367994,18.4%,waningcrescent,,154.4
2023-04-17,05:57:44,16:37:13,107.5,258.5,11:06:44,22.1,368707,10.0%,waningcrescent,,151.8
2023-04-18,05:58:08,18:16:23,94.1,272.7,11:55:04,29.0,370472,4.0%,waningcrescent,,150.7
2023-04-19,05:58:24,19:54:37,80.9,286.7,12:42:45,35.8,373309,0.7%,waningcrescent,,150.0
2023-04-20,05:58:59,21:33:44,67.9,300.3,13:30:53,42.2,377115,0.1%,newmoon,06:12:33,340.2
2023-04-21,06:00:28,23:14:26,55.4,313.1,14:20:22,47.9,381664,2.2%,waxingcrescent,,339.5
2023-04-22,06:03:52,,43.6,,15:11:37,52.4,386624,6.5%,waxingcrescent,,343.8
2023-04-23,06:11:17,00:55:09,33.1,324.8,16:04:30,55.6,391599,12.8%,waxingcrescent,,349.5
2023-04-24,06:27:59,02:29:40,24.8,334.1,16:58:12,57.3,396174,20.6%,waxingcrescent,,355.9
2023-04-25,07:05:15,03:44:16,21.2,338.7,17:51:30,57.5,399970,29.4%,waxingcrescent,,2.5
2023-04-26,08:12:00,04:27:01,24.3,336.5,18:43:07,56.2,402680,38.9%,waxingcrescent,,8.9
2023-04-27,09:37:28,04:46:10,32.2,329.5,19:32:14,53.6,404103,48.6%,firstquarter,23:19:59,14.5
2023-04-28,11:07:38,04:54:33,42.3,320.3,20:18:36,49.9,404148,58.4%,waxinggibbous,,19.2
2023-04-29,12:36:39,04:58:16,53.3,310.1,21:02:31,45.4,402842,67.8%,waxinggibbous,,22.8
2023-04-30,14:03:17,04:59:48,64.8,299.3,21:44:38,40.1,400319,76.7%,waxinggibbous,,25.3
2023-05-01,15:28:24,05:00:13,76.7,288.2,22:25:53,34.4,396803,84.6%,waxinggibbous,,26.6
2023-05-02,16:53:38,05:00:07,89.0,276.8,23:07:19,28.4,392593,91.3%,waxinggibbous,,26.6
2023-05-03,18:21:07,04:59:51,101.6,265.0,23:50:05,22.2,388033,96.3%,waxinggibbous,,24.9
2023-05-04,19:53:05,04:59:47,114.6,253.0,,,,,waxinggibbous,,
2023-05-05,21:31:28,05:00:21,127.6,240.8,00:35:24,16.2,383477,99.3%,fullmoon,19:34:02,19.5
2023-05-06,23:16:46,05:02:18,140.4,228.6,01:24:24,10.7,379256,99.9%,waninggibbous,,219.3
2023-05-07,,05:07:19,,216.8,02:17:57,6.2,375638,98.0%,waninggibbous,,200.1
2023-05-08,01:04:54,05:20:02,152.0,206.3,03:16:07,3.0,372805,93.4%,waninggibbous,,192.0
2023-05-09,02:39:43,05:54:12,159.4,200.3,04:17:45,1.6,370833,86.3%,waninggibbous,,184.0
2023-05-10,03:35:04,07:10:26,157.7,203.2,05:20:31,2.0,369707,77.0%,waninggibbous,,175.9
2023-05-11,03:56:43,08:56:28,148.9,213.3,06:21:39,4.3,369343,66.2%,waninggibbous,,168.6
2023-05-12,04:05:02,10:47:38,137.3,226.1,07:19:16,8.3,369634,54.5%,thirdquarter,16:28:17,162.6
2023-05-13,04:08:27,12:34:31,124.7,239.8,08:12:47,13.7,370486,42.6%,waningcrescent,,158.1
2023-05-14,04:09:49,14:15:50,111.8,253.7,09:02:47,19.9,371847,31.2%,waningcrescent,,155.4
2023-05-15,04:10:18,15:53:10,98.8,267.6,09:50:22,26.5,373707,20.9%,waningcrescent,,154.4
2023-05-16,04:10:29,17:28:52,85.8,281.3,10:36:52,33.3,376077,12.4%,waningcrescent,,155.2
2023-05-17,04:10:50,19:05:10,73.0,294.8,11:23:33,39.7,378969,5.9%,waningcrescent,,158.1
2023-05-18,04:11:52,20:43:31,60.5,307.8,12:11:30,45.6,382353,1.7%,waningcrescent,,164.8
2023-05-19,04:14:19,22:23:37,48.6,319.9,13:01:25,50.6,386140,0.1%,newmoon,17:53:19,204.4
2023-05-20,04:19:45,,37.5,,13:53:28,54.4,390163,0.8%,waxingcrescent,,334.3
2023-05-21,04:31:45,00:01:38,28.1,330.3,14:47:05,56.7,394185,3.8%,waxingcrescent,,347.1
2023-05-22,04:58:59,01:26:54,22.2,337.3,15:41:05,57.5,397916,8.7%,waxingcrescent,,355.6
2023-05-23,05:54:01,02:23:38,22.5,338.0,16:33:58,56.8,401048,15.3%,waxingcrescent,,3.0
2023-05-24,07:14:14,02:51:06,28.9,332.5,17:24:31,54.7,403292,23.1%,waxingcrescent,,9.5
2023-05-25,08:43:49,03:03:05,38.3,324.0,18:12:07,51.5,404413,31.9%,waxingcrescent,,14.9
2023-05-26,10:13:26,03:08:26,48.9,314.1,18:56:52,47.2,404253,41.3%,waxingcrescent,,19.1
2023-05-27,11:40:25,03:10:46,60.2,303.6,19:39:19,42.3,402748,51.0%,firstquarter,17:22:15,22.2
2023-05-28,13:05:02,03:11:37,71.8,292.8,20:20:20,36.8,399939,60.9%,waxinggibbous,,24.0
2023-05-29,14:28:49,03:11:42,83.8,281.6,21:01:01,31.0,395977,70.4%,waxinggibbous,,24.6
2023-05-30,15:53:54,03:11:30,96.1,270.1,21:42:33,24.9,391120,79.3%,waxinggibbous,,23.9
2023-05-31,17:22:41,03:11:21,108.7,258.4,22:26:13,18.9,385718,87.2%,waxinggibbous,,21.4
2023-06-01,18:57:36,03:11:37,121.7,246.3,23:13:21,13.1,380195,93.6%,waxinggibbous,,16.6
2023-06-02,20:40:18,03:12:56,134.7,234.1,,,,,waxinggibbous,,
2023-06-03,22:29:32,03:16:31,147.2,222.0,00:05:09,8.1,375006,98.0%,waxinggibbous,,7.0
2023-06-04,,03:25:26,,210.7,01:02:15,4.2,370591,99.9%,fullmoon,05:41:46,318.2
